company_id,metric_type,period_years,value_pct
HDFCBANK,Compounded Sales Growth,10,21.0
HDFCBANK,Compounded Profit Growth,10,22.0
HDFCBANK,Stock Price Cagr,10,15.0
SBILIFE,Compounded Sales Growth,5,24.0
SBILIFE,Compounded Profit Growth,5,6.0
SBILIFE,Stock Price Cagr,5,8.0
SBILIFE,Compounded Sales Growth,3,17.0
SBILIFE,Compounded Profit Growth,3,9.0
SBILIFE,Stock Price Cagr,3,7.0
SBILIFE,Stock Price Cagr,1,-2.0
TCS,Compounded Sales Growth,10,11.0
TCS,Compounded Profit Growth,10,9.0
TCS,Stock Price Cagr,10,14.0
TCS,Compounded Sales Growth,5,10.0
TCS,Compounded Profit Growth,5,8.0
TCS,Stock Price Cagr,5,16.0
TCS,Compounded Sales Growth,3,14.0
TCS,Compounded Profit Growth,3,12.0
TCS,Stock Price Cagr,3,8.0
TCS,Stock Price Cagr,1,16.0
WIPRO,Compounded Sales Growth,10,8.0
WIPRO,Compounded Profit Growth,10,3.0
WIPRO,Stock Price Cagr,10,12.0
WIPRO,Compounded Sales Growth,5,9.0
WIPRO,Compounded Profit Growth,5,4.0
WIPRO,Stock Price Cagr,5,20.0
WIPRO,Compounded Sales Growth,3,13.0
WIPRO,Compounded Profit Growth,3,0.0
WIPRO,Stock Price Cagr,3,-1.0
HDFCBANK,Compounded Sales Growth,5,22.0
HDFCBANK,Compounded Profit Growth,5,23.0
HDFCBANK,Stock Price Cagr,5,8.0
WIPRO,Stock Price Cagr,1,39.0
HDFCBANK,Compounded Sales Growth,3,30.0
HDFCBANK,Compounded Profit Growth,3,26.0
HDFCBANK,Stock Price Cagr,3,8.0
HDFCBANK,Stock Price Cagr,1,13.0
INFY,Compounded Sales Growth,10,12.0
INFY,Compounded Profit Growth,10,9.0
INFY,Stock Price Cagr,10,15.0
INFY,Compounded Sales Growth,5,13.0
INFY,Compounded Profit Growth,5,11.0
INFY,Stock Price Cagr,5,22.0
INFY,Compounded Sales Growth,3,5.0
INFY,Compounded Profit Growth,3,10.0
INFY,Stock Price Cagr,3,4.0
INFY,Stock Price Cagr,1,27.0
SBILIFE,Compounded Sales Growth,10,23.0
SBILIFE,Compounded Profit Growth,10,9.0
SBILIFE,Stock Price Cagr,10,9.0
