Company ID,Latest CFO,Latest CFF,Latest Borrowings,Previous Borrowings,Alert Badge
1062,22163.0,-1692.0,111.0,111.0,Stable ✅
1063,36151.0,-3883.0,46.0,46.0,Stable ✅
1064,35531.0,5201.0,58.0,58.0,Stable ✅
1065,37900.0,-3795.0,80.0,80.0,Stable ✅
1066,30199.0,6205.0,98.0,98.0,Stable ✅
1067,23857.0,2012.0,125.0,125.0,Stable ✅
1068,18891.0,8830.0,113.0,113.0,Stable ✅
1069,26633.0,3390.0,288.0,288.0,Stable ✅
1070,29001.0,9904.0,331.0,331.0,Stable ✅
1071,14283.0,-3380.0,416.0,416.0,Stable ✅
1072,35388.0,-26243.0,391.0,391.0,Stable ✅
1073,67915.0,-37006.0,382.0,382.0,Stable ✅
1247,603.0,286.0,4839.0,4839.0,Stable ✅
1248,903.0,-529.0,80566.0,80566.0,Stable ✅
1249,994.0,-351.0,77752.0,77752.0,Stable ✅
1250,1894.0,-935.0,67778.0,67778.0,Stable ✅
1251,1312.0,2316.0,71569.0,71569.0,Stable ✅
1252,919.0,52.0,58159.0,58159.0,Stable ✅
1253,1282.0,1885.0,66226.0,66226.0,Stable ✅
1254,2932.0,-1528.0,59187.0,59187.0,Stable ✅
1255,3294.0,-2548.0,57669.0,57669.0,Stable ✅
1256,2104.0,-868.0,53583.0,53583.0,Stable ✅
1257,2689.0,-4400.0,80329.0,80329.0,Stable ✅
1258,3228.0,-1810.0,87706.0,87706.0,Stable ✅
266,23196.0,-790.0,251.0,251.0,Stable ✅
267,42233.0,5151.0,249.0,249.0,Stable ✅
268,17838.0,-6.0,418.0,418.0,Stable ✅
269,-10011.0,-616.0,323.0,323.0,Stable ✅
270,17865.0,-198.0,560.0,560.0,Stable ✅
271,-59692.0,3413.0,533.0,533.0,Distress Signal ⚠️
272,-1449.0,4449.0,1320.0,1320.0,Distress Signal ⚠️
273,18531.0,14729.0,1118.0,1118.0,Stable ✅
274,-887.0,-986.0,1093.0,1093.0,Stable ✅
275,6210.0,-998.0,1587.0,1587.0,Stable ✅
276,-21354.0,-5405.0,1933.0,1933.0,Stable ✅
277,-6274.0,5476.0,2474.0,2474.0,Distress Signal ⚠️
374,1398.0,718.0,66736.0,66736.0,Stable ✅
375,1563.0,-266.0,75896.0,75896.0,Stable ✅
376,1173.0,165.0,83415.0,83415.0,Stable ✅
377,1741.0,3104.0,100646.0,100646.0,Stable ✅
378,2382.0,-1326.0,107288.0,107288.0,Stable ✅
379,1463.0,-385.0,111334.0,111334.0,Stable ✅
380,1691.0,-349.0,125428.0,125428.0,Stable ✅
381,3068.0,-2949.0,148228.0,148228.0,Stable ✅
382,3755.0,-1240.0,162785.0,162785.0,Stable ✅
383,3326.0,-1600.0,169678.0,169678.0,Stable ✅
384,3238.0,-958.0,226020.0,226020.0,Stable ✅
385,4134.0,-1200.0,215592.0,215592.0,Stable ✅
869,4175.0,-3135.0,237131.0,237131.0,Stable ✅
