company_id,sector,original_roce,calculated_roce,year,roce_difference,is_anomaly,adjustment_notes
AXISBANK,Finance/Banking,7.06,2.52,2013-03,4.539999999999999,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,2.59,2014-03,4.47,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,2.46,2015-03,4.6,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,2.54,2016-03,4.52,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,4.08,2017-03,2.9799999999999995,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,4.28,2018-03,2.7799999999999994,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,3.48,2019-03,3.5799999999999996,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,3.97,2020-03,3.0899999999999994,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,3.33,2021-03,3.7299999999999995,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,2.63,2022-03,4.43,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,2.27,2023-03,4.789999999999999,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,2.61,2024-03,4.449999999999999,False,Match: Deviation is within acceptable limits.
AXISBANK,Finance/Banking,7.06,,PARSE_ERROR,,False,Match: Deviation is within acceptable limits.
BAJAJFINSV,Finance/Banking,21.14,18.91,2013-03,2.2300000000000004,False,Match: Deviation is within acceptable limits.
BAJAJFINSV,Finance/Banking,21.14,15.58,2014-03,5.5600000000000005,True,Anomaly: Calculated ROCE (15.58%) deviates from source (21.14%) by 5.56% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,14.73,2015-03,6.41,True,Anomaly: Calculated ROCE (14.73%) deviates from source (21.14%) by 6.41% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,13.57,2016-03,7.57,True,Anomaly: Calculated ROCE (13.57%) deviates from source (21.14%) by 7.57% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,13.52,2017-03,7.620000000000001,True,Anomaly: Calculated ROCE (13.52%) deviates from source (21.14%) by 7.62% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,12.52,2018-03,8.620000000000001,True,Anomaly: Calculated ROCE (12.52%) deviates from source (21.14%) by 8.62% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,12.18,2019-03,8.96,True,Anomaly: Calculated ROCE (12.18%) deviates from source (21.14%) by 8.96% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,11.52,2020-03,9.620000000000001,True,Anomaly: Calculated ROCE (11.52%) deviates from source (21.14%) by 9.62% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,11.96,2021-03,9.18,True,Anomaly: Calculated ROCE (11.96%) deviates from source (21.14%) by 9.18% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,10.65,2022-03,10.49,True,Anomaly: Calculated ROCE (10.65%) deviates from source (21.14%) by 10.49% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,11.55,2023-03,9.59,True,Anomaly: Calculated ROCE (11.55%) deviates from source (21.14%) by 9.59% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,11.71,2024-03,9.43,True,Anomaly: Calculated ROCE (11.71%) deviates from source (21.14%) by 9.43% sector adjustment applied
BAJAJFINSV,Finance/Banking,21.14,,PARSE_ERROR,,False,Match: Deviation is within acceptable limits.
BAJFINANCE,Finance/Banking,11.9,5.57,2015-03,6.33,True,Anomaly: Calculated ROCE (5.57%) deviates from source (11.9%) by 6.33% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,5.3,2016-03,6.6000000000000005,True,Anomaly: Calculated ROCE (5.3%) deviates from source (11.9%) by 6.6% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,5.52,2017-03,6.380000000000001,True,Anomaly: Calculated ROCE (5.52%) deviates from source (11.9%) by 6.38% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,4.99,2018-03,6.91,True,Anomaly: Calculated ROCE (4.99%) deviates from source (11.9%) by 6.91% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,4.5,2019-03,7.4,True,Anomaly: Calculated ROCE (4.5%) deviates from source (11.9%) by 7.4% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,5.65,2020-03,6.25,True,Anomaly: Calculated ROCE (5.65%) deviates from source (11.9%) by 6.25% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,6.43,2021-03,5.470000000000001,True,Anomaly: Calculated ROCE (6.43%) deviates from source (11.9%) by 5.47% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,5.69,2022-03,6.21,True,Anomaly: Calculated ROCE (5.69%) deviates from source (11.9%) by 6.21% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,4.68,2023-03,7.220000000000001,True,Anomaly: Calculated ROCE (4.68%) deviates from source (11.9%) by 7.22% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,4.35,2024-03,7.550000000000001,True,Anomaly: Calculated ROCE (4.35%) deviates from source (11.9%) by 7.55% sector adjustment applied
BAJFINANCE,Finance/Banking,11.9,,PARSE_ERROR,,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,2.02,2013-03,4.3100000000000005,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,1.84,2014-03,4.49,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,1.9,2015-03,4.43,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,3.83,2016-03,2.5,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,2.78,2017-03,3.5500000000000003,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,3.63,2018-03,2.7,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,3.27,2019-03,3.06,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,3.54,2020-03,2.79,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,3.31,2021-03,3.02,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,2.94,2022-03,3.39,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,2.64,2023-03,3.69,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,2.82,2024-03,3.5100000000000002,False,Match: Deviation is within acceptable limits.
BANKBARODA,Finance/Banking,6.33,,PARSE_ERROR,,False,Match: Deviation is within acceptable limits.
CHOLAFIN,Finance/Banking,10.4,4.0,2013-03,6.4,True,Anomaly: Calculated ROCE (4.0%) deviates from source (10.4%) by 6.4% sector adjustment applied
CHOLAFIN,Finance/Banking,10.4,4.58,2014-03,5.82,True,Anomaly: Calculated ROCE (4.58%) deviates from source (10.4%) by 5.82% sector adjustment applied
CHOLAFIN,Finance/Banking,10.4,4.69,2015-03,5.71,True,Anomaly: Calculated ROCE (4.69%) deviates from source (10.4%) by 5.71% sector adjustment applied
